,precision,recall,f1-score,support
0,0.9772047611177463,0.9971743052704934,0.9870885437994141,314259.0
1,0.9433962264150944,0.3424657534246575,0.5025125628140703,292.0
2,0.9996871415163208,0.9984376627434642,0.9990620114643043,19202.0
3,0.994634473507713,0.9611147116007777,0.977587343441002,1543.0
4,0.9736574335782928,0.9964901454082616,0.9849414814532423,25927.0
5,0.8891454965357968,0.9821428571428571,0.9333333333333333,784.0
6,0.9625603864734299,0.9863861386138614,0.9743276283618582,808.0
7,0.9932659932659933,0.9943820224719101,0.9938236945536215,890.0
8,1.0,1.0,1.0,1.0
9,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
10,0.9914724275156339,0.5127903557777125,0.6759689922480621,13604.0
11,0.9629629629629629,0.968944099378882,0.9659442724458205,483.0
12,1.0,0.08181818181818182,0.15126050420168066,220.0
13,0.0,0.0,0.0,3.0
14,0.0,0.0,0.0,98.0
accuracy,0.9782026869776791,0.9782026869776791,0.9782026869776791,0.9782026869776791
macro avg,0.8014213757481545,0.6659208600211817,0.6912048393559087,378120.0
weighted avg,0.9782094046789735,0.9782026869776791,0.9750309774740853,378120.0
